text,label
"I love this product, it's fantastic!",positive
This is the worst service I've ever experienced.,negative
"Meh, it was okay, not great but not terrible.",neutral
"Absolutely amazing quality, highly recommend it!",positive
I am very disappointed. Waste of money.,negative
"The experience was neutral, nothing special.",neutral
"Great job, really happy with the result!",positive
Terrible customer support. Never again.,negative
It’s fine. Just average.,neutral
I’m satisfied with the service overall.,positive
